Date,Volume,Close,Average
12/05/2014,143800,4.10935,4.155
13/05/2014,31200,4.089735,4.19
14/05/2014,23800,4.119158,4.2
15/05/2014,222700,3.854355,4.03
16/05/2014,107300,3.83474,3.935
20/05/2014,50000,3.854355,3.935
21/05/2014,131200,3.824932,3.85
22/05/2014,170600,3.766087,3.835
23/05/2014,116700,3.697435,3.775
26/05/2014,41900,3.71705,3.785
27/05/2014,83600,3.707242,3.8
28/05/2014,32300,3.746472,3.81
29/05/2014,32800,3.736665,3.81
30/05/2014,118200,3.618974,3.705
02/06/2014,52500,3.579744,3.7
03/06/2014,65900,3.658205,3.74
04/06/2014,35000,3.658205,3.73
05/06/2014,21300,3.687627,3.755
06/06/2014,64100,3.766087,3.805
09/06/2014,25900,3.736665,3.83
10/06/2014,43400,3.785702,3.845
11/06/2014,20600,3.830124,3.85
12/06/2014,28500,3.830124,3.855
13/06/2014,59700,3.889353,3.935
16/06/2014,35800,3.86961,3.96
17/06/2014,23100,3.820252,3.895
18/06/2014,10200,3.800509,3.845
19/06/2014,14100,3.800509,3.845
20/06/2014,23900,3.86961,3.895
23/06/2014,12800,3.820252,3.915
24/06/2014,56700,3.810381,3.88
25/06/2014,68600,3.790638,3.825
26/06/2014,21500,3.761024,3.825
27/06/2014,24100,3.790638,3.81
30/06/2014,28500,3.761024,3.82
02/07/2014,48100,3.800509,3.845
03/07/2014,18900,3.810381,3.875
04/07/2014,33900,3.859738,3.905
07/07/2014,28400,3.859738,3.89
08/07/2014,20200,3.810381,3.87
09/07/2014,27200,3.770895,3.83
10/07/2014,35900,3.761024,3.825
11/07/2014,27200,3.770895,3.85
14/07/2014,99200,3.839995,3.895
15/07/2014,35100,3.770895,3.865
16/07/2014,23300,3.761024,3.84
17/07/2014,35500,3.721538,3.805
18/07/2014,61100,3.780766,3.8
21/07/2014,17100,3.800509,3.825
22/07/2014,49900,3.780766,3.82
23/07/2014,20000,3.741281,3.805
24/07/2014,69800,3.701795,3.77
25/07/2014,38300,3.672181,3.72
28/07/2014,51000,3.642566,3.73
29/07/2014,31800,3.612952,3.675
30/07/2014,34700,3.662309,3.69
31/07/2014,109200,3.741281,3.735
01/08/2014,65500,3.810381,3.82
05/08/2014,40500,3.790638,3.84
06/08/2014,17100,3.780766,3.81
07/08/2014,60100,3.810381,3.845
08/08/2014,28100,3.820252,3.845
11/08/2014,79600,3.86961,3.89
12/08/2014,41300,3.859738,3.89
13/08/2014,3500,3.839995,3.895
14/08/2014,10600,3.859738,3.88
15/08/2014,8200,3.820252,3.89
18/08/2014,18500,3.839995,3.875
19/08/2014,27200,3.849867,3.88
20/08/2014,20900,3.800509,3.865
21/08/2014,7200,3.810381,3.875
22/08/2014,14100,3.820252,3.85
25/08/2014,4800,3.820252,3.875
26/08/2014,14100,3.810381,3.87
27/08/2014,38000,3.790638,3.855
28/08/2014,17900,3.780766,3.84
29/08/2014,77500,3.711666,3.8
02/09/2014,57900,3.652438,3.69
03/09/2014,56100,3.642566,3.71
04/09/2014,86800,3.662309,3.675
05/09/2014,63100,3.652438,3.74
08/09/2014,44800,3.682052,3.725
09/09/2014,58100,3.662309,3.735
10/09/2014,15000,3.697094,3.715
11/09/2014,27200,3.71697,3.725
12/09/2014,20400,3.746786,3.76
15/09/2014,7500,3.707032,3.75
16/09/2014,8300,3.697094,3.725
17/09/2014,64200,3.697094,3.7
18/09/2014,60500,3.637463,3.705
19/09/2014,100600,3.567894,3.62
22/09/2014,70500,3.577832,3.565
23/09/2014,137800,3.548017,3.555
24/09/2014,22100,3.617586,3.61
25/09/2014,19400,3.567894,3.62
26/09/2014,72000,3.667278,3.7
29/09/2014,55400,3.826293,3.79
30/09/2014,28300,3.816355,3.855
